Beach,CSES,CSES Label,Park,Region,Type,Access type,Beach colour,Beach width,Built environment,Cliff height,Cliff slope,Cliff special features,Coastal landscape features,D Value,Dunes,Latitude,Litter,Longitude,Noise disturbance,Non-built environment,Rocky shore extent,Rocky shore roughness,Rocky shore slope,Sewage discharge evidence,Skyline,Skyline landform,Tides,Type of sediment,Utilities,Valleys,Vegetation cover,Vegetation debris,Vistas,Water colour and clarity
Blomidon,Class II,Class II,Provincial park,Yarmouth & Bay of Fundy,Rural,5,3,4,5,3,5,5,4,0.83,1,45.2557427,5,-64.3505635,5,5,5,3,2,5,5,3,1,3,4,3,5,5,2,3
Scots Bay,Class IV,Class IV,Provincial park,Yarmouth & Bay of Fundy,Village,4,3,4,3,1,1,1,3,0.25,1,45.3003612,4,-64.3991472,5,5,1,1,1,5,4,3,1,4,3,1,3,3,2,1
Houston's Beach,Class IV,Class IV,N/A,Yarmouth & Bay of Fundy,Rural,5,3,3,4,2,4,3,3,0.35,1,45.21582,3,-64.3645021,4,5,1,1,1,5,3,3,1,5,4,1,4,4,1,2
Pineo,Class IV,Class IV,N/A,Yarmouth & Bay of Fundy,Rural,5,3,3,3,2,3,4,4,0.33,1,45.2432196,4,-64.4602133,5,5,3,3,2,5,3,3,1,4,2,4,5,2,1,3
Halls Harbour South,Class V,Class V,N/A,Yarmouth & Bay of Fundy,Village,4,3,3,3,2,5,5,2,-0.06,1,45.2003863,5,-64.6214529,4,5,1,1,1,5,2,1,1,4,1,1,5,4,1,2
Halls Harbour North,Class V,Class V,N/A,Yarmouth & Bay of Fundy,Village,5,3,3,3,1,1,1,2,-0.02,1,45.2018963,5,-64.619003,4,5,3,4,4,5,2,3,1,4,1,1,4,3,1,2
Margaretville,Class IV,Class IV,N/A,Yarmouth & Bay of Fundy,Village,4,3,3,3,3,4,4,4,0.15,1,45.0483165,3,-65.0618615,4,5,1,1,1,5,4,3,1,3,1,1,5,2,2,2
Hampton,Class IV,Class IV,N/A,Yarmouth & Bay of Fundy,Village,4,3,3,3,2,2,3,1,0.29,1,44.9050856,5,-65.3529177,4,5,1,1,1,5,4,3,1,4,1,3,5,3,1,3
Gulliver Cove,Class IV,Class IV,N/A,Yarmouth & Bay of Fundy,Village,4,3,3,3,2,5,3,2,0.02,1,44.6089646,2,-65.921992,5,5,4,3,4,5,4,3,1,3,2,3,4,2,1,3
Sandy Cove,Class IV,Class IV,N/A,Yarmouth & Bay of Fundy,Rural,4,5,4,3,2,3,4,1,0.3,3,44.4969134,3,-66.1003492,5,5,3,4,4,5,5,1,1,5,2,1,5,3,1,4
Savary,Class IV,Class IV,Provincial park,Yarmouth & Bay of Fundy,Rural,5,3,2,4,1,1,1,3,0.26,1,44.5141576,4,-65.9078661,2,5,1,1,1,5,5,3,3,4,3,1,5,3,2,3
Methegan River,Class V,Class V,N/A,Yarmouth & Bay of Fundy,Village,4,3,2,3,2,4,3,2,-0.16,1,44.2303994,3,-66.1382294,4,5,4,3,2,5,2,2,3,3,1,1,3,3,2,3
Mavillete,Class V,Class V,Provincial park,Yarmouth & Bay of Fundy,Village,2,4,3,3,3,3,4,3,-0.16,5,44.0895041,4,-66.193025,2,5,1,1,1,5,2,2,3,5,1,4,2,3,1,3
Port Maitland,Class V,Class V,Provincial park,Yarmouth & Bay of Fundy,Village,5,3,2,3,1,1,1,3,-0.16,2,43.9882676,5,-66.1534951,4,5,1,1,1,5,2,2,3,3,1,1,2,3,2,3
